id,title,publishedAt,duration,definition,caption,licensedContent,viewCount,likeCount,commentCount,description,embeddable,player
HsLl-IL9c7E,"""Ours"" Behind-the-Scenes - Home Movies",2011-12-13T20:50:44Z,PT1M54S,sd,false,False,131730,2883,266,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HsLl-IL9c7E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
kGOmPmILndU,The reputation Secret Sessions,2017-11-07T13:30:04Z,PT2M46S,hd,false,False,2866110,130686,6071,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kGOmPmILndU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
9Wx2It8SbLs,"😺 Join my #TSAntiHeroChallenge and share your anti-heroic traits, brought to you by YouTube Shorts.",2022-10-21T12:10:06Z,PT16S,hd,false,False,104702288,4648747,15214,,True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/9Wx2It8SbLs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
SvEbXNgvXWY,Taylor Swift RED Tour London announcement,2013-09-30T06:05:16Z,PT50S,hd,false,False,203418,4438,1211,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SvEbXNgvXWY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
iTNZ-OzBoBo,Taylor Swift - willow (moonlit witch version) - [yule log],2020-12-17T21:53:54Z,PT3M29S,hd,false,False,932956,34293,1435,"Official video by Taylor Swift performing willow (moonlit witch version) - [yule log]
Listen to the album here: https://taylor.lnk.to/evermorealbum 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe  
 
►Exclusive Merch: http://taylorswift.lnk.to/store 

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift   
Facebook: http://facebook.com/taylorswift    
Tumblr: http://taylorswift.tumblr.com   
Twitter: http://twitter.com/taylorswift13   
Snapchat: http://snapchat.com/add/taylorswift 
Website: http://www.taylorswift.com   

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation   
Tumblr: http://taylornation.tumblr.com   
Twitter: http://twitter.com/taylornation13

#TaylorSwift #willow #evermore

Music video by Taylor Swift performing willow (moonlit witch version) - [yule log]. © 2020 Taylor Swift",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iTNZ-OzBoBo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
3fUS9GAMxv4,🕰 #TSAntiHeroChallenge. Coming October 21. Brought to you by YouTube Shorts.,2022-10-18T04:00:03Z,PT8S,hd,false,False,922926,86025,1217,,True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3fUS9GAMxv4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
RMW3fAructY,Taylor Swift reputation Stadium Tour // Trailer 2,2018-04-05T21:06:54Z,PT31S,hd,false,False,418107,28950,2114,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RMW3fAructY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
AtHsg4USz8g,"""Ours"" Behind-the-Scenes - The Director",2011-12-07T23:04:15Z,PT1M56S,sd,false,False,158763,2782,201,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AtHsg4USz8g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
wzLhAZn_JMk,Behind-the-scenes in BAND HERO with Taylor!,2009-11-02T22:00:19Z,PT1M17S,hd,false,False,909942,6469,624,"BAND HERO featuring Taylor Swift in stores Tuesday, November 3!

Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/wzLhAZn_JMk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
ijjGqwdXa1c,"It’s me, Benjamin 🐱 joining the #TSAntiHeroChallenge brought to you by YouTube Shorts",2022-11-11T17:04:21Z,PT16S,hd,false,False,47824572,2641361,10409,,True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ijjGqwdXa1c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
fJBFvNiJ4Kw,"First time hearing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" on the radio",2017-02-01T20:03:05Z,PT49S,hd,false,False,2785862,150878,4682,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fJBFvNiJ4Kw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
FvodYNcH13Q,Meredith learns about ACM voting...,2012-03-19T16:14:35Z,PT1M39S,hd,false,False,1876136,51432,4160,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FvodYNcH13Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
xIoApJgIw8U,Taylor Swift WONDERSTRUCK In-Store Appearances,2011-11-17T17:38:19Z,PT2M3S,sd,false,False,261783,4830,531,"Here are highlights from Taylor's Wonderstruck fragrance launch at Macy's in New York City, Sephora in Glendale, California, and Belk in Nashville, Tennessee.

Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xIoApJgIw8U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
p1Zt47V3pPw,"Taylor performs ""Blank Space"" at The GRAMMY Museum",2016-01-07T21:03:14Z,PT5M57S,hd,false,False,20372955,437591,12993,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/p1Zt47V3pPw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
hNHBVaFueYw,How To Be A Cat,2019-12-16T18:43:56Z,PT2M34S,hd,false,False,933644,96476,3436,"►Go see CATS in theaters on December 20! Get tickets: https://taylorswift.lnk.to/CATStickets

►Listen to ""Beautiful Ghosts"" written by Taylor Swift and Andrew Lloyd Webber and performed by Taylor Swift for the motion picture CATS: https://taylor.lnk.to/BeautifulGhosts

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift online:
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation online:
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hNHBVaFueYw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
Jo-8VaRU4ok,Mark your calendars! Meet the Midnights Manifest 📜,2022-10-20T04:15:55Z,PT31S,hd,false,False,924683,81741,865,,True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Jo-8VaRU4ok"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
qybUgW7eoZQ,Taylor Swift - willow - [yule log],2020-12-17T20:00:29Z,PT3M35S,hd,false,False,701671,47562,3372,"Official video by Taylor Swift performing willow [yule log]
Listen to the album here: https://taylor.lnk.to/evermorealbum 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe  
 
►Exclusive Merch: http://taylorswift.lnk.to/store 

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift   
Facebook: http://facebook.com/taylorswift    
Tumblr: http://taylorswift.tumblr.com   
Twitter: http://twitter.com/taylorswift13   
Snapchat: http://snapchat.com/add/taylorswift 
Website: http://www.taylorswift.com   

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation   
Tumblr: http://taylornation.tumblr.com   
Twitter: http://twitter.com/taylornation13

#TaylorSwift #willow #evermore

Music video by Taylor Swift performing willow [yule log]. © 2020 Taylor Swift",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qybUgW7eoZQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
KFoOCZeKgzQ,Speak Now World Tour Live CD+DVD,2011-09-21T14:27:30Z,PT1M12S,sd,false,False,264970,4931,682,"Shop music here: http://smarturl.it/TASmusic

Shop merchandise here: http://taylor.lk/tourmerch

Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift 
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation 
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KFoOCZeKgzQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
